"re","im"
-2.350954731965375619454243860673e10,0
0.e-22,0
6.50340448618915001009099796647e6,0.e-22
2.60800830625772343787502904888e7,0.e-23
3.95641834956537561945424386067e7,0
306783.7064227030055008071940392,0
0.e-26,-430705.5598919479848518676590174
0.e-25,107401.97658523500479077483760193
0.e-25,0
-90828.,0
0,0.e-25
-107401.97658523500479077483760193,0.e-25
-90828.,0
-430705.5598919479848518676590174,0.e-26
-306783.7064227030055008071940392,0
0.e-28,0
-214.80395317047000958154967520386,0.e-28
-861.4111197838959697037353180349,0.e-29
-1306.7837064227030055008071940392,0
0.e-28,0
0,0.e-27
0,0
0.e-27,0
0,0
0.e-28,0
0.e-29,0.e-28
0.e-28,0.e-28
693.2162935772969944991928059608,0
0.e-28,0.e-28
0,0.e-28
214.80395317047000958154967520386,0.e-28
0.e-28,0.e-29
693.216293577296994499192805961,0
861.4111197838959697037353180349,0.e-29
1306.7837064227030055008071940392,0
-1.,0
0,0
0,0
0,0
1.,0
0,0.e-31
0,0
1.,0
0,0
2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0.e-31
0,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0
-1.,0
