"re","im"
0.e-20,0
0.e-22,0
1.447460007525306808563527738443e8,-2.006467483345109731087632098934e8
-2.006467483345109731087632098934e8,-1.4474600075253068085635277384426e8
0.e-22,0
0.e-25,0
0.e-25,0.e-25
0.e-25,0.e-25
0.e-25,0
-38374.1236540660140690306434408,0
0,76748.2473081320281380612868816
-272963.514759353017780085792765,378381.7263736449945099593605846
38374.1236540660140690306434408,0
378381.7263736449945099593605846,272963.514759353017780085792765
0.e-25,0
0.e-28,0
-272.963514759353017780085792765,378.3817263736449945099593605846
378.3817263736449945099593605846,272.96351475935301778008579276502
0.e-28,0
0.e-27,0
0,0.e-27
0,0
0.e-27,0
0,0
0.e-28,0
-272.963514759353017780085792765,-378.3817263736449945099593605846
-1135.1451791209349835298780817538,818.8905442780590533402573782951
1258.4042473081320281380612868816,0
818.8905442780590533402573782951,1135.1451791209349835298780817538
0,-2516.8084946162640562761225737631
272.963514759353017780085792765,-378.3817263736449945099593605846
378.3817263736449945099593605846,-272.96351475935301778008579276502
-1258.4042473081320281380612868816,0
-378.3817263736449945099593605846,-272.96351475935301778008579276502
0.e-28,0
0.e-31,0
0,0
0,0
0,0
1.,0
0,-2.
0,0
-1.,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-1.,0
0,2.
0,0
0.e-31,0
0,0
-1.,0
0,2.
0,0
0,2.
0,0
1.,0
0,0
1.,0
0,0
0.e-31,0
