"re","im"
-1.5938237085910796992661961780159e10,0.e-21
4.5395017693145367826285659344e7,0.e-23
6.1491508980267812422217383515e6,-7.1675559447451175253668152623e6
-7.1675559447451175253668152623e6,-6.14915089802678124222173835152e6
-2.56484577782100479649430818474e7,0.e-23
-3844.5993555698898527654893864,0.e-26
232980.3096068625116407050741675,-271565.8520702564387437022032116
-271565.8520702564387437022032116,-232980.3096068625116407050741675
-173890.8720614439857854449655861,0
6925.248684588045432945051657,-126538.9925879600576313475716106
-253077.9851759201152626951432212,38936.3746922699412826338513607
-81026.298421365718901699194296,94445.6456772127204947635709724
45861.623376857986715578903018,126538.9925879600576313475716106
94445.6456772127204947635709724,81026.298421365718901699194296
177735.4714170138756382104549725,0.e-26
-999.9999999999979536369210109115,0
-465.9606192137259768060175701976,543.1317041405139889320707879961
543.1317041405139889320707879961,465.9606192137259768060175701976
347.7817441228900179339689202607,0
999.9999999999979536369210109115,0
0,0
0,0
999.9999999999979536369210109115,0
0,0
999.9999999999979536369210109115,0
465.9606192137259768060175701976,-543.1317041405139889320707879961
-543.1317041405139889320707879961,-465.9606192137259768060175701976
-347.7817441228900179339689202607,0
465.9606192137259768060175701976,-543.1317041405139889320707879961
0,0
465.9606192137259768060175701976,-543.1317041405139889320707879961
-543.1317041405139889320707879961,-465.9606192137259768060175701976
-347.7817441228900179339689202607,0
-543.1317041405139889320707879961,-465.9606192137259768060175701976
-347.7817441228900179339689202607,0
1.,0
0,0
0,0
0,0
-2.,0
0,0
0,0
-2.,0
0,0
-2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.,0
0,0
0,0
2.,0
0,0
2.,0
0,0
0,0
0,0
0,0
1.,0
0,0
2.,0
0,0
1.,0
