"re","im"
-3.019967429699922587551179731236e10,0
-4.806129254575353e-7,0
-2.67190357193619875897638848983e7,0.e-23
1.19421546826077355501638521673e7,0.e-22
4.62543104729997064884372548477e7,0
527755.0030717144231573456636397,0
0.e-25,-197221.47381767300089450145605952
0.e-26,-441257.6912300499998309533111751
0.e-25,0
-90828.,0
0,0.e-25
441257.6912300499998309533111751,0.e-26
-90828.,0
-197221.47381767300089450145605952,0.e-25
-527755.0030717144231573456636397,0
-1.0231815394945443e-12,0
882.5153824600999996619066223502,0.e-29
-394.442947635346001789002912119,0.e-28
-1527.7550030717133999758061690954,0
-1.023181539494544e-12,0
0,0.e-27
0,0
-1.023181539494544e-12,0
0,0
1.0231815394945443e-12,0
0.e-28,0.e-29
0.e-28,0.e-28
472.2449969282866000241938309046,0
0.e-28,0.e-28
0,0.e-28
-882.5153824600999996619066223502,0.e-29
0.e-28,0.e-28
472.2449969282866000241938309046,0
394.442947635346001789002912119,0.e-28
1527.7550030717133999758061690954,0
-1.,0
0,0
0,0
0,0
1.,0
0,0.e-31
0,0
1.,0
0,0
2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0.e-31
0,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0
-1.,0
