"re","im"
-2.544764032824949735804602823919e10,0
0.e-22,0
1.65284867457083439326197549235e7,0.e-22
2.29117702953769517075670592021e7,0.e-23
4.15022765042494973580460282392e7,0
370797.8763459339859309693565592,0
0.e-25,378381.7263736449945099593605846
0.e-25,-272963.514759353017780085792765
0.e-25,0
-90828.,0
0,0.e-25
-272963.514759353017780085792765,0.e-25
-90828.,0
-378381.7263736449945099593605846,0.e-25
-370797.8763459339859309693565592,0
0.e-28,0
-545.92702951870603556017158553,0.e-28
-756.7634527472899890199187211692,0.e-28
-1370.7978763459339859309693565592,0
0.e-27,0
0,0.e-27
0,0
0.e-27,0
0,0
0.e-28,0
0.e-28,0.e-28
0.e-28,0.e-28
629.202123654066014069030643441,0
0.e-28,0.e-28
0,0.e-27
545.92702951870603556017158553,0.e-28
0.e-28,0.e-28
629.202123654066014069030643441,0
756.7634527472899890199187211692,0.e-28
1370.7978763459339859309693565592,0
-1.,0
0,0
0,0
0,0
1.,0
0,0.e-31
0,0
1.,0
0,0
2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0.e-31
0,0
0.e-30,0
0,0
-1.,0
0,0.e-31
0,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0
-1.,0
