"re","im"
-2.350954731965375533404676389182e10,0
-1.335035904048709e-7,0
6.50340448618913280017750366824e6,0.e-22
2.60800830625772274947848927695e7,0.e-23
3.95641834956538888376371687627e7,0
306783.7064227029770790977636352,0
0.e-26,430705.5598919478711650299374014
0.e-25,-107401.97658523472057368053356186
0.e-25,0
-90828.,0
0,0.e-25
-107401.97658523472057368053356186,0.e-25
-90828.,0
-430705.5598919478711650299374014,0.e-26
-306783.7064227029770790977636352,0
-2.842170943040401e-13,0
-214.80395317046944114736106712371,0.e-28
-861.4111197838957423300598748028,0.e-29
-1306.7837064227026928620034595951,0
-2.8421709430404e-13,0
0,0.e-27
0,0
-2.8421709430404e-13,0
0,0
2.842170943040401e-13,0
0.e-28,0.e-28
0.e-28,0.e-28
693.216293577297307137996540405,0
0.e-28,0.e-28
0,0.e-27
214.80395317046944114736106712371,0.e-28
0.e-28,0.e-29
693.216293577297307137996540405,0
861.4111197838957423300598748028,0.e-29
1306.7837064227026928620034595951,0
-1.,0
0,0
0,0
0,0
1.,0
0,0.e-31
0,0
1.,0
0,0
2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0.e-31
0,0
0.e-30,0
0,0
-1.,0
0,0.e-31
0,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0
-1.,0
